id;datasetid;datasetname;type;modified;language;license;rightsholder;accessrights;bibliographiccitation;references;institutionid;institutioncode;ownerinstitutioncode;basisofrecord;informationwithheld;datageneralizations;scientificname;taxonrank;ocurrenceid;catalognumber;othercatalognumbers;recordedby;organismquantity;organismquantitytype;sex;lifestage;reproductivecondition;behaviour;establishmentmeans;occurrencestatus;occurrenceremarks;parenteventid;eventid;yeareventdate;montheventdate;dayeventdate;verbatimeventdate;eventtime;samplingprotocol;samplingsizevalue;samplingsizeunit;samplingeffort;habitat;stateprovince;county;municipality;waterbody;island;minimumdepthinmeters;maximumdepthinmeters;minimumelevationinmeters;maximumelevationinmeters;georeferenceremarks;identifiedby;dateidentified;identverificationstatus;identificationremarks;geodeticdatum;decimallatitude;decimalLongitude;country
7dfb0291-03fe-424d-8825-d88f7d8c9d1e;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/7dfb0291-03fe-424d-8825-d88f7d8c9d1e;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;7dfb0291-03fe-424d-8825-d88f7d8c9d1e;LEP000505;;J.C. Viente Arranz;;;;;;;;;B.D. ZERYNTHIA;;;2012;7;10;;;;;;;;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;;;;;594;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
ab18b6b7-cab2-49bc-94dd-a1b8a6369fd7;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/ab18b6b7-cab2-49bc-94dd-a1b8a6369fd7;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;ab18b6b7-cab2-49bc-94dd-a1b8a6369fd7;LEP000507;;Y. Monasterio, R. Escobés, O. Moreno;;;;;;;;;B.D. ZERYNTHIA;;;2012;7;19;;;;;;;;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;;;;;594;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
665410a1-953c-45d9-9512-12c920ac5209;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/665410a1-953c-45d9-9512-12c920ac5209;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;665410a1-953c-45d9-9512-12c920ac5209;LEP000508;;Y. Monasterio, R. Escobés, O. Moreno;;;;;;;;;Monasterio et al., 2015;;;2012;7;19;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;542;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
adb4a8a8-d69c-46af-ba45-3a99b49c383f;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/adb4a8a8-d69c-46af-ba45-3a99b49c383f;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;adb4a8a8-d69c-46af-ba45-3a99b49c383f;LEP000509;;Oscar Moreno;;;;;;;;;B.D. ZERYNTHIA;;;2012;7;23;;;;;;;;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;;;;;830;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
cefe5e1f-1287-49a0-a6c0-953484c35ec5;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/cefe5e1f-1287-49a0-a6c0-953484c35ec5;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;cefe5e1f-1287-49a0-a6c0-953484c35ec5;LEP000511;;Y. Monasterio, R. Escobés;;;;;;;;;Monasterio et al., 2015;;;2013;7;14;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;565;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
0b158642-d960-4a04-819d-72846af22e95;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/0b158642-d960-4a04-819d-72846af22e95;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;0b158642-d960-4a04-819d-72846af22e95;LEP000513;;Y. Monasterio, R. Escobés;;;;;;;;;Monasterio et al., 2015;;;2013;7;14;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;860;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
bc788f79-0541-4b80-84fc-2e876d774b8b;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/bc788f79-0541-4b80-84fc-2e876d774b8b;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;bc788f79-0541-4b80-84fc-2e876d774b8b;LEP000514;;Oscar Moreno;;;;;;;;;Monasterio et al., 2015;;;2013;7;25;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;835;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
7193620a-50f5-4e4e-93b8-945585481c28;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/7193620a-50f5-4e4e-93b8-945585481c28;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;7193620a-50f5-4e4e-93b8-945585481c28;LEP000515;;Oscar Moreno;;;;;;;;;Monasterio et al., 2015;;;2013;7;25;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;921;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
dcb984d1-cbde-4c0a-b82e-f53058624a95;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/dcb984d1-cbde-4c0a-b82e-f53058624a95;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;dcb984d1-cbde-4c0a-b82e-f53058624a95;LEP000516;;Oscar Moreno;;;;;;;;;Monasterio et al., 2015;;;2013;7;25;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;782;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
49178904-e21a-43d9-a9af-a4695634d51c;;Mariposas del País Vasco;Colección de observaciones;2022-03-01 11:12:37.0;spa;CC BY-SA 4.0;Gobierno Vasco;Acceso público####;;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/observaciones/49178904-e21a-43d9-a9af-a4695634d51c;ejgv;GV;GV;HumanObservation;;;Lopinga achine (Scopoli, 1763);Species;49178904-e21a-43d9-a9af-a4695634d51c;LEP000518;;Oscar Moreno;;;;;;;;;Monasterio et al., 2015;;;2013;7;28;;;;;;;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;;;;791;;;;;;;EPSG:4326 WGS84;;;EspaÃ±a
