scientificname;yeareventdate;montheventdate;dayeventdate;stateprovince;county;municipality;minimumelevationinmeters;decimallatitude;decimalLongitude
Lopinga achine (Scopoli, 1763);2012.000000;7.000000;10.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;594.000000;43.053100;-2.998600
Lopinga achine (Scopoli, 1763);2012.000000;7.000000;19.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;594.000000;43.053100;-2.998600
Lopinga achine (Scopoli, 1763);2012.000000;7.000000;19.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;542.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2012.000000;7.000000;23.000000;Álava;Arabako Kantaurialdea / Cantábrica Alavesa;Amurrio;830.000000;43.053100;-2.998600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;14.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;565.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;14.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;860.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;25.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;835.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;25.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;921.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;25.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;782.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;28.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;791.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;28.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;770.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2013.000000;7.000000;28.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;554.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;17.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;540.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;22.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;910.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;28.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;540.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;28.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;540.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;794.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;835.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;835.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;835.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;835.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;856.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2014.000000;7.000000;13.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;574.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1969.000000;7.000000;10.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1962.000000;7.000000;17.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1969.000000;7.000000;10.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;800.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1983.000000;7.000000;10.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;937.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1970.000000;7.000000;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);1983.000000;7.000000;20.000000;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;937.000000;43.046700;-3.008600
Lopinga achine (Scopoli, 1763);2017.000000;6.000000;2.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;765.000000;42.846700;-2.672700
Lopinga achine (Scopoli, 1763);2017.000000;6.000000;7.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;650.000000;42.846700;-2.672700
Parnassius apollo (Linnaeus, 1758);1973.000000;7.000000;24.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;750.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1973.000000;7.000000;3.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;750.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1985.000000;8.000000;11.000000;Álava;Arabako Lautada / Llanada Alavesa;Agurain/Salvatierra;950.000000;42.852400;-2.389400
Parnassius apollo (Linnaeus, 1758);1969.000000;8.000000;19.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;1055.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1967.000000;7.000000;25.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;1055.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1970.000000;8.000000;;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;1055.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);2014.000000;8.000000;17.000000;Álava;Arabako Errioxa / Rioja Alavesa;Laguardia;1203.000000;42.554700;-2.619700
Parnassius apollo (Linnaeus, 1758);2013.000000;9.000000;1.000000;Álava;Arabako Errioxa / Rioja Alavesa;Laguardia;1333.000000;42.554700;-2.619700
Parnassius apollo (Linnaeus, 1758);2017.000000;7.000000;29.000000;Álava;Arabako Lautada / Llanada Alavesa;Asparrena;1422.000000;42.895800;-2.321900
Parnassius apollo (Linnaeus, 1758);2013.000000;9.000000;1.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Bernedo;1333.000000;42.626700;-2.497500
Parnassius apollo (Linnaeus, 1758);2014.000000;8.000000;10.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Lagrán;1340.000000;42.626400;-2.583900
Parnassius apollo (Linnaeus, 1758);1970.000000;7.000000;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;900.000000;43.046700;-3.008600
Parnassius apollo (Linnaeus, 1758);1970.000000;7.000000;;Bizkaia;Arratia-Nerbioi / Arratia-Nervión;Urduña/Orduña;900.000000;43.046700;-3.008600
Parnassius apollo (Linnaeus, 1758);2017.000000;7.000000;1.000000;Gipuzkoa;Debagoiena / Alto Deba;Oñati;1081.000000;43.032600;-2.411100
Parnassius apollo (Linnaeus, 1758);2015.000000;7.000000;12.000000;Gipuzkoa;Debagoiena / Alto Deba;Oñati;1254.000000;43.032600;-2.411100
Parnassius apollo (Linnaeus, 1758);1976.000000;7.000000;30.000000;Álava;Añana;Kuartango;605.000000;42.871400;-2.885600
Parnassius apollo (Linnaeus, 1758);1977.000000;7.000000;24.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;850.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1977.000000;8.000000;24.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;850.000000;42.757500;-2.454700
